Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
1,300.1,311.4,1356,45.7,149,0
1,300.1,311.3,1676,30.3,151,0
1,300.1,311.4,1910,23.0,153,0
1,300.2,311.6,1375,56.9,155,0
2,300.2,311.6,1513,40.8,157,0
1,300.2,311.6,1511,35.7,160,0
0,300.2,311.6,1662,28.8,162,0
1,300.2,311.7,1493,48.3,167,0
2,300.2,311.7,1555,37.4,169,0
1,300.3,311.7,1452,41.5,172,0
1,300.2,311.6,1500,39.0,174,0
1,300.2,311.7,1603,30.5,176,0
1,300.3,311.7,1682,27.8,178,0
1,300.3,311.8,1567,37.7,180,0
1,300.3,311.8,1413,46.0,182,0
2,300.3,311.9,1429,41.6,184,0
1,300.3,311.9,1692,31.5,187,0
1,300.4,311.9,1476,48.7,189,0
2,300.4,312.0,1596,30.4,191,0
0,300.3,311.9,1390,49.0,194,0
2,300.3,311.8,1607,33.7,199,0
1,300.3,311.7,1821,26.3,202,0
0,300.3,311.8,2141,18.5,204,0
2,300.4,311.8,1553,33.1,209,1
2,300.4,311.8,1442,45.1,0,0
1,300.4,311.7,1459,45.6,3,0
0,300.4,311.8,2496,13.5,5,0
1,300.4,311.8,1367,57.2,10,0
1,300.3,311.8,2004,19.6,12,0
1,300.3,311.7,1406,47.5,14,0
1,300.3,311.8,1548,33.0,16,0
1,300.3,311.7,1333,55.2,18,0
1,300.2,311.6,1767,26.4,20,0
1,300.2,311.6,1827,27.0,22,0
2,300.2,311.6,1533,46.4,24,0
0,300.2,311.5,1515,36.8,27,0
1,300.2,311.4,1568,41.0,32,0
1,300.2,311.4,1452,47.8,34,0
1,300.2,311.4,1433,37.9,36,0
2,300.1,311.3,1650,33.8,38,0
1,300.1,311.4,1629,31.3,41,0
1,300.0,311.3,1520,39.2,43,0
0,300.0,311.2,1393,43.1,45,0
0,299.9,311.2,1364,49.6,50,0
2,299.9,311.3,1389,50.0,55,0
1,299.8,311.1,1466,46.1,58,0
1,299.7,311.1,1650,32.4,60,0
1,299.6,311.0,1554,36.3,62,0
2,299.6,310.9,1474,39.7,64,0
0,299.5,310.8,1600,32.4,67,0
1,299.5,310.8,1356,54.9,72,0
1,299.5,310.8,1571,38.2,74,0
1,299.6,310.9,1658,28.0,76,0
1,299.6,310.8,1393,49.9,78,0
2,299.7,311.0,1448,49.8,80,0
1,299.7,310.9,1477,40.4,83,0
2,299.7,311.0,1506,42.7,85,0
2,299.7,310.9,1685,32.1,88,0
1,299.6,310.9,1533,31.8,91,0
1,299.5,310.8,1447,41.0,93,0
2,299.5,310.7,1488,39.5,95,0
2,299.6,310.8,1427,50.4,98,0
2,299.5,310.7,1424,41.3,101,0
1,299.5,310.7,1472,40.9,104,0
1,299.5,310.7,1438,45.7,106,0
1,299.6,310.8,1507,42.4,108,0
1,299.6,310.7,1393,52.1,110,0
1,299.5,310.8,1283,52.4,112,0
1,299.6,310.8,1644,30.9,114,0
1,299.6,310.8,1498,46.9,116,0
1,299.6,310.8,1400,40.8,118,0
0,299.6,310.9,1679,31.2,120,0
2,299.7,311.1,1618,30.3,125,0
0,299.6,311.0,1714,30.2,128,0
1,299.6,311.0,1574,35.0,133,0
1,299.7,311.1,1574,36.4,135,0
1,299.6,310.9,1472,40.9,137,0
1,299.6,311.0,1552,33.2,139,0
1,299.7,311.1,1603,31.4,141,0
0,299.7,311.1,1353,47.1,143,0
1,299.7,311.1,1690,30.6,148,0
2,299.8,311.2,1745,26.3,150,0
1,299.9,311.3,1522,45.7,153,0
0,300.0,311.4,1641,34.5,155,0
1,299.9,311.4,1596,28.9,160,0
0,299.9,311.4,1497,37.0,162,0
1,299.9,311.3,1371,52.3,167,0
2,299.9,311.3,1445,41.2,169,0
1,299.8,311.2,1564,40.0,172,0
1,299.7,311.1,1439,44.9,174,0
1,299.7,311.2,1352,52.1,176,0
1,299.8,311.3,1560,35.4,178,0
2,299.7,311.2,1616,42.3,180,0
1,299.7,311.2,1835,23.7,183,0
2,299.7,311.1,1649,32.7,185,0
1,299.8,311.1,1452,47.3,188,0
1,299.8,311.1,2144,17.7,190,0
1,299.7,311.1,1554,41.0,192,0
1,299.7,311.0,1827,25.4,194,0
1,299.6,310.9,1448,46.3,196,0
2,299.6,310.9,1530,38.8,198,0
1,299.7,311.0,1983,21.0,201,0
2,299.7,310.9,1620,37.2,203,0
2,299.6,310.9,1630,29.8,206,0
1,299.6,310.9,1229,65.2,209,1
1,299.5,310.8,1873,22.3,211,0
1,299.4,310.7,1426,45.7,213,0
1,299.4,310.8,1376,53.9,215,1
1,299.4,310.8,1622,33.6,217,0
2,299.4,310.7,1492,45.7,219,0
2,299.3,310.7,1374,48.9,222,0
1,299.2,310.7,1737,27.0,225,1
1,299.3,310.8,1426,42.4,0,0
2,299.3,310.9,1826,25.1,2,0
1,299.3,310.9,1669,32.4,5,0
2,299.4,310.9,1473,40.1,7,0
1,299.4,310.9,1751,27.8,10,0
2,299.4,310.9,1446,47.3,12,0
1,299.3,310.8,1483,43.5,15,0
1,299.2,310.7,1535,42.6,17,0
1,299.2,310.7,1477,44.0,19,0
1,299.3,310.8,1391,46.9,21,0
0,299.2,310.7,1636,29.4,23,0
1,299.2,310.6,1675,33.3,28,0
0,299.2,310.5,1329,48.9,30,0
2,299.2,310.5,1548,33.5,35,0
1,299.2,310.5,1391,45.8,38,0
1,299.1,310.5,1437,43.1,40,0
1,299.2,310.6,1370,61.9,42,0
1,299.1,310.6,1577,37.1,44,0
1,299.1,310.5,1485,37.8,46,0
1,299.0,310.4,1504,34.3,48,0
2,298.9,310.3,1551,35.2,50,0
2,299.1,310.5,1428,43.0,53,0
1,299.0,310.5,1755,27.9,56,0
1,299.1,310.5,1329,54.9,58,0
1,299.1,310.5,1496,35.2,60,0
1,299.1,310.5,1532,36.6,62,0
1,299.1,310.5,1389,61.4,64,0
2,299.1,310.4,1524,51.4,66,0
2,299.1,310.4,1422,49.3,69,0
1,299.1,310.5,1739,27.4,72,0
1,299.1,310.5,1736,26.9,74,0
1,299.1,310.5,1419,48.8,76,0
1,299.1,310.6,1326,49.7,78,0
2,299.1,310.6,1449,43.2,80,0
1,299.2,310.6,1534,39.7,83,0
2,299.2,310.6,1443,50.9,85,0
1,299.2,310.6,1498,41.1,88,0
1,299.1,310.6,1796,26.0,90,0
1,299.1,310.4,1519,45.3,92,0
1,299.0,310.4,1339,49.6,94,0
1,299.0,310.4,1483,41.5,96,0
2,298.9,310.2,2099,20.0,98,0
2,299.0,310.3,1689,29.7,101,0
0,299.1,310.4,1369,54.5,104,0
1,299.0,310.4,1512,38.8,109,0
2,299.0,310.3,1303,68.6,111,1
1,299.0,310.3,1552,39.9,114,0
1,299.0,310.4,1713,28.0,116,0
1,298.9,310.3,1456,44.1,118,0
1,299.0,310.4,1524,39.8,120,0
2,299.0,310.4,1394,45.2,122,0
1,299.0,310.4,1981,21.2,125,0
1,299.0,310.4,1565,36.1,127,0
1,299.1,310.4,1657,31.0,129,0
2,299.0,310.4,1625,37.1,131,0
1,299.0,310.4,1606,31.1,134,0
0,299.0,310.5,1336,56.8,136,0
2,299.0,310.6,1587,34.2,141,0
1,299.1,310.6,1602,39.7,144,0
1,299.1,310.5,1471,38.4,146,0
0,299.1,310.6,1332,48.0,148,0
0,299.2,310.6,1434,48.4,153,0
1,299.1,310.6,1921,23.9,158,0
0,299.2,310.6,1704,30.6,160,0
2,299.1,310.6,1397,49.5,165,0
0,299.1,310.6,1791,28.0,168,0
1,299.1,310.6,1818,24.1,173,0
1,299.2,310.7,1540,36.3,175,0
2,299.2,310.8,1502,39.8,177,0
0,299.2,310.8,1761,30.4,180,0
2,299.1,310.8,1517,38.4,185,0
1,299.1,310.7,1309,51.1,188,0
1,298.9,310.6,1363,52.6,190,0
2,299.0,310.6,1787,22.2,192,0
1,298.9,310.5,1640,29.2,195,0
2,298.9,310.6,1720,25.3,197,0
1,298.8,310.5,1384,52.8,200,0
0,298.8,310.5,1294,55.8,202,0
1,298.8,310.5,1464,46.4,207,0
1,298.8,310.6,1803,25.4,209,0
1,298.8,310.6,1602,39.1,211,0
0,298.9,310.6,1519,38.8,213,0
2,298.9,310.7,1638,33.6,218,0
0,298.9,310.6,1615,33.0,221,0
1,298.8,310.6,1651,33.3,0,0
1,298.9,310.6,1387,52.7,2,0
2,298.8,310.5,1678,32.8,4,0
1,298.9,310.6,1585,38.1,7,0
2,298.8,310.6,1640,33.8,9,0
1,298.9,310.6,1406,43.8,12,0
2,298.9,310.6,1679,35.8,14,0
1,298.9,310.5,1717,26.9,17,0
0,298.9,310.5,1429,39.9,19,0
2,298.9,310.4,1533,44.4,24,0
2,298.9,310.5,1525,38.5,27,0
1,298.9,310.4,1739,26.3,30,0
1,298.9,310.3,1436,39.0,32,0
2,298.8,310.2,1595,33.1,34,0
0,298.7,310.1,1435,45.6,37,0
1,298.7,310.0,1637,31.8,42,0
1,298.7,310.1,1558,37.6,44,0
2,298.7,310.1,1644,34.1,46,0
1,298.7,310.1,1641,31.1,49,0
1,298.8,310.2,1504,41.0,51,0
2,298.7,310.1,1506,50.7,53,0
0,298.8,310.1,1380,44.0,56,0
2,298.7,310.1,1549,42.5,61,0
2,298.7,310.1,1402,69.7,64,1
1,298.7,310.1,1401,45.3,67,0
2,298.7,310.0,1459,40.2,69,0
1,298.7,309.9,1465,39.7,72,0
2,298.8,310.0,1295,52.7,74,0
2,298.8,310.0,1529,38.5,77,0
2,298.8,310.0,1484,44.9,80,0
1,298.8,309.9,1739,30.6,83,0
0,298.7,309.8,1422,40.7,85,0
1,298.8,309.8,1463,40.0,90,0
1,298.7,309.7,1667,30.4,92,0
0,298.7,309.7,1565,39.3,94,0
1,298.7,309.7,1393,45.7,99,0
2,298.8,309.7,1453,47.7,101,0
1,298.8,309.6,1442,50.0,104,0
1,298.7,309.6,1364,44.9,106,0
0,298.7,309.5,1453,40.4,108,0
2,298.7,309.5,1394,46.0,113,0
2,298.7,309.5,1500,38.8,116,0
0,298.6,309.5,1523,34.2,119,0
2,298.7,309.6,1254,57.1,124,0
1,298.6,309.5,1325,52.2,127,0
1,298.8,309.7,1424,49.6,129,0
1,298.8,309.7,1505,39.0,131,0
2,298.8,309.7,1392,48.7,133,0
1,298.8,309.7,1529,44.0,136,0
2,298.8,309.7,1477,48.5,138,0
2,298.8,309.7,1459,47.3,141,0
2,299.0,309.8,2240,15.9,144,0
1,298.9,309.7,1449,48.8,147,0
2,298.8,309.7,1589,35.3,149,0
1,298.8,309.7,1740,28.5,152,0
2,298.8,309.7,1499,40.3,154,0
2,298.8,309.7,1480,38.1,157,0
1,298.8,309.7,1751,29.6,160,0
1,298.7,309.7,1510,40.6,162,0
0,298.8,309.8,1437,48.2,164,0
1,298.8,309.7,1609,40.4,169,0
0,298.8,309.8,1490,35.9,171,0
1,298.7,309.7,1601,35.7,176,0
1,298.7,309.6,1665,31.1,178,0
2,298.7,309.6,1452,42.7,180,0
2,298.7,309.5,1487,33.6,183,0
2,298.7,309.6,1382,48.1,186,0
2,298.7,309.6,1686,26.2,189,0
1,298.6,309.6,1491,36.9,192,0
1,298.7,309.6,1442,55.6,194,0
1,298.6,309.6,1390,50.3,196,0
1,298.7,309.6,1502,46.7,198,0
2,298.6,309.6,1344,59.4,200,0
1,298.5,309.5,1385,46.3,203,1
1,298.7,309.7,1547,37.4,0,0
2,298.6,309.6,1525,42.4,2,0
1,298.6,309.6,1540,35.8,5,0
1,298.6,309.5,1450,44.3,7,0
1,298.6,309.6,1353,62.5,9,0
1,298.8,309.7,1582,45.0,11,0
1,298.9,309.8,1396,49.0,13,0
2,298.8,309.8,1551,36.6,15,0
2,298.9,309.8,1836,22.8,18,0
1,298.9,309.8,1390,49.9,21,0
1,298.9,309.8,1534,42.1,23,0
1,298.8,309.7,1953,20.6,25,0
1,298.8,309.8,1634,33.6,27,0
1,298.7,309.7,1881,21.7,29,0
2,298.8,309.7,1448,44.8,31,0
2,298.7,309.7,1362,50.5,34,0
1,298.8,309.7,1225,63.4,37,0
2,298.8,309.6,1384,48.2,39,0
1,298.8,309.8,1334,49.3,42,0
1,298.8,309.7,1336,50.3,44,0
2,298.8,309.9,1331,61.6,46,0
1,298.8,309.9,1629,31.9,49,0
1,298.9,310.0,1776,25.7,51,0
0,298.8,310.0,1530,38.3,53,0
1,298.9,310.0,1719,27.3,58,0
2,298.8,309.9,1495,35.2,60,0
1,298.8,309.7,1450,43.1,63,0
0,298.8,309.8,1563,38.8,65,0
2,298.9,309.9,1501,37.1,70,0
1,298.8,309.9,1351,47.2,73,0
1,298.9,309.9,1365,46.5,75,0
1,298.8,309.9,1525,39.7,77,0
2,298.8,309.8,1288,61.9,79,0
1,298.6,309.6,1423,42.7,82,0
2,298.5,309.6,1502,39.4,84,0
1,298.5,309.5,1428,43.5,87,0
2,298.6,309.5,1566,38.1,89,0
2,298.5,309.5,1483,44.8,92,0
0,298.6,309.6,1593,33.3,95,0
1,298.5,309.6,1724,26.4,100,0
1,298.5,309.7,2617,12.1,102,1
1,298.6,309.7,1294,59.4,104,0
1,298.6,309.6,1533,40.7,106,0
0,298.5,309.4,1671,31.8,108,0
1,298.5,309.5,1370,52.4,113,0
1,298.5,309.6,1462,45.1,115,0
1,298.4,309.5,1545,36.6,117,0
2,298.4,309.5,1484,41.7,119,0
2,298.4,309.5,1344,45.3,122,0
1,298.4,309.5,1357,50.1,125,0
2,298.5,309.6,1572,33.0,127,0
1,298.5,309.6,1861,26.9,130,0
1,298.5,309.5,1548,44.5,132,0
1,298.6,309.8,1496,37.7,134,0
2,298.6,309.7,1314,49.7,136,0
2,298.6,309.7,1422,49.7,139,0
1,298.6,309.8,1842,20.1,142,0
2,298.7,309.9,1434,53.0,144,0
2,298.8,310.1,1585,31.3,147,0
0,298.8,310.1,1704,30.7,150,0
1,298.9,310.2,1971,23.2,155,0
1,299.0,310.3,1431,39.9,157,0
1,298.9,310.4,1546,37.7,159,0
1,298.9,310.3,1496,36.3,161,0
0,298.9,310.3,1243,63.0,163,0
1,299.0,310.4,1452,46.2,168,0
1,299.1,310.6,1380,44.7,170,0
1,299.2,310.6,1567,38.4,172,0
1,299.1,310.5,1628,35.9,174,0
1,299.1,310.4,1505,46.1,176,0
2,299.0,310.3,1827,28.0,178,0
1,299.0,310.3,1577,40.0,181,0
1,298.9,310.2,1304,57.2,183,0
0,298.9,310.1,1324,54.6,185,0
1,298.8,310.0,1537,39.9,190,0
2,298.8,310.1,1501,48.7,192,0
2,298.7,309.9,1654,29.1,195,0
2,298.7,310.0,1519,38.1,198,0
1,298.7,309.9,1371,51.3,201,0
1,298.7,309.8,1181,65.9,203,1
1,298.6,309.8,1469,42.8,205,0
1,298.6,309.8,1637,34.6,207,0
1,298.6,309.8,1370,56.0,0,0
1,298.6,309.9,1630,30.6,2,0
1,298.6,310.0,1517,39.0,4,0
2,298.6,309.9,1668,32.3,6,0
2,298.6,309.9,1818,24.9,9,0
2,298.6,310.0,1541,36.9,12,0
1,298.5,309.9,1482,42.1,15,0
1,298.6,310.1,1439,49.9,17,0
1,298.5,310.0,1492,41.2,19,0
1,298.4,309.9,1725,27.8,21,0
1,298.4,310.0,1559,44.2,23,0
1,298.5,310.0,1435,42.5,25,0
2,298.6,310.0,1512,37.5,27,0
1,298.6,309.9,1564,37.1,30,0
1,298.6,310.0,1522,40.3,32,0
1,298.6,309.9,1356,59.5,34,0
1,298.6,309.9,1556,38.6,36,0
1,298.6,309.9,1393,45.5,38,0
1,298.7,309.9,1753,26.8,40,0
1,298.7,309.9,1651,29.5,42,0
1,298.7,309.9,1372,54.7,44,0
1,298.7,309.9,1446,43.3,46,0
2,298.7,309.8,1501,44.7,48,0
2,298.7,309.9,1411,45.1,51,0
0,298.6,309.7,1672,27.5,54,0
2,298.7,309.8,1475,40.5,59,0
1,298.7,309.8,1469,38.4,62,0
1,298.6,309.8,1704,28.3,64,0
0,298.6,309.7,1463,39.1,66,0
2,298.6,309.7,1280,64.1,71,0
1,298.7,309.9,1464,38.0,74,0
1,298.6,309.8,1332,46.4,76,0
1,298.5,309.7,1634,37.8,78,0
2,298.6,309.8,1430,43.1,80,0
2,298.5,309.7,1523,44.6,83,0
2,298.5,309.7,1557,37.7,86,0
1,298.5,309.6,1585,32.2,89,0
0,298.5,309.6,1579,33.5,91,0
2,298.5,309.7,1354,60.8,96,0
1,298.6,309.7,1627,33.4,99,0
1,298.4,309.6,1477,35.6,101,0
2,298.3,309.4,1595,29.0,103,0
1,298.4,309.5,1520,38.1,106,0
1,298.3,309.4,1618,31.5,108,0
1,298.4,309.5,1397,50.3,110,0
1,298.4,309.5,1450,47.9,112,0
2,298.5,309.5,1501,40.2,114,0
1,298.4,309.4,1392,50.1,117,0
1,298.4,309.4,1385,43.2,119,0
1,298.4,309.4,1461,46.3,121,0
2,298.5,309.6,1364,58.7,123,0
1,298.5,309.5,1579,38.6,126,0
2,298.4,309.5,1514,38.8,128,0
2,298.3,309.5,1560,36.9,131,0
1,298.3,309.5,1542,36.7,134,0
1,298.3,309.4,1668,27.1,136,0
2,298.3,309.4,1816,22.6,138,0
2,298.3,309.4,1509,34.2,141,0
1,298.4,309.6,1479,37.8,144,0
1,298.4,309.6,1655,30.2,146,0
1,298.3,309.5,1711,30.3,148,0
1,298.4,309.7,1581,34.6,150,0
0,298.6,309.8,1279,55.9,152,0
1,298.5,309.8,1468,40.9,157,0
1,298.4,309.7,1419,41.3,159,0
1,298.4,309.7,1530,38.6,161,0
1,298.4,309.6,1710,27.3,163,1
1,298.4,309.7,1518,39.8,165,0
2,298.4,309.7,1679,33.3,167,0
2,298.4,309.7,1870,22.5,170,0
1,298.3,309.7,1484,44.3,173,0
1,298.4,309.7,1457,44.2,175,0
0,298.3,309.6,1546,36.2,177,0
2,298.2,309.5,1478,36.5,182,0
1,298.2,309.4,1447,47.1,185,0
1,298.2,309.4,1443,45.4,187,0
1,298.3,309.6,1527,30.9,189,0
2,298.3,309.6,1469,54.8,191,0
2,298.3,309.6,1681,27.1,194,0
1,298.3,309.6,1420,44.1,197,0
2,298.3,309.5,1543,49.9,199,0
1,298.4,309.5,1376,50.4,202,0
0,298.3,309.4,1631,29.8,0,0
0,298.3,309.3,1529,41.7,5,0
1,298.3,309.4,1468,46.2,10,0
1,298.3,309.4,1378,52.3,12,0
1,298.3,309.3,1401,51.9,14,0
1,298.4,309.3,1531,37.4,16,0
1,298.4,309.3,1512,35.8,18,0
2,298.5,309.4,1522,47.4,20,0
2,298.5,309.3,1615,31.8,23,0
1,298.6,309.3,1449,46.5,26,0
1,298.6,309.4,1315,55.5,28,0
2,298.6,309.4,1465,41.1,30,0
2,298.6,309.5,1404,43.3,33,0
1,298.6,309.5,1547,44.8,36,0
2,298.6,309.5,1426,45.4,38,0
1,298.6,309.5,1730,30.2,41,0
1,298.5,309.4,1548,37.7,43,0
1,298.5,309.4,1517,40.2,45,0
1,298.6,309.5,1687,29.3,47,0
1,298.5,309.5,1738,25.2,49,0
0,298.4,309.4,1512,35.3,51,0
2,298.5,309.4,1365,48.7,56,0
0,298.5,309.4,2011,21.0,59,0
1,298.4,309.3,1806,27.6,64,0
1,298.4,309.3,1716,28.4,66,0
2,298.4,309.4,1666,24.3,68,0
1,298.5,309.4,1578,36.3,71,0
1,298.3,309.3,1558,37.2,73,0
1,298.3,309.2,1456,45.5,75,0
2,298.2,309.1,1457,49.0,77,0
1,298.2,309.1,1467,44.5,80,0
2,298.1,309.0,1661,38.2,82,0
1,298.1,309.0,1592,33.9,85,0
1,298.2,309.0,1596,37.2,87,0
1,298.2,309.0,1489,40.6,89,0
1,298.3,309.0,1471,48.3,91,0
2,298.3,309.0,1505,41.3,93,0
1,298.3,309.0,1519,40.0,96,0
1,298.3,309.0,1408,45.4,98,0
1,298.2,308.9,1332,44.4,100,0
1,298.1,308.9,1351,52.4,102,0
1,298.0,308.9,1500,36.7,104,0
2,298.0,308.7,1614,30.7,106,0
1,298.0,308.8,1489,36.5,109,0
2,297.9,308.7,1751,26.6,111,0
1,298.0,308.7,1511,45.8,114,0
1,297.9,308.6,1691,29.6,116,0
1,297.9,308.6,1757,27.5,118,0
0,297.9,308.7,1545,35.9,120,0
1,297.9,308.6,2262,15.7,125,0
2,297.7,308.5,1559,35.2,127,0
1,297.6,308.4,1626,32.4,130,0
1,297.6,308.3,1424,53.9,132,0
2,297.6,308.3,1648,29.1,134,0
1,297.6,308.3,1523,39.5,137,0
1,297.6,308.3,1502,43.2,139,0
1,297.5,308.2,1489,40.7,141,0
2,297.4,308.1,1620,31.2,143,0
1,297.5,308.1,1631,30.6,146,0
2,297.5,308.0,1429,45.8,148,0
2,297.5,308.1,1334,72.0,151,1
1,297.4,308.0,1423,38.0,154,0
1,297.4,307.9,1390,47.7,156,0
2,297.4,307.9,1338,48.5,158,0
0,297.3,307.9,1461,37.5,161,0
2,297.4,307.9,1627,34.3,166,0
1,297.3,307.8,1385,44.4,169,0
2,297.3,307.8,1538,48.0,171,0
1,297.4,307.9,1557,35.5,174,0
1,297.4,307.9,1606,33.4,176,0
2,297.5,308.0,1430,44.5,178,0
2,297.4,308.0,1601,34.6,181,0
1,297.4,308.0,1356,51.9,184,0
2,297.5,308.2,1624,30.9,186,0
1,297.5,308.2,1327,56.5,189,0
1,297.6,308.3,1410,47.0,191,0
1,297.6,308.3,1478,42.3,193,0
1,297.6,308.4,1460,40.3,195,0
1,297.5,308.3,1435,40.3,197,0
0,297.4,308.2,1359,46.9,199,0
1,297.4,308.1,1729,31.7,204,0
0,297.3,308.0,1384,49.1,206,0
1,297.4,308.2,1297,52.1,211,0
1,297.5,308.4,1633,33.3,213,0
2,297.5,308.4,1505,37.2,215,0
1,297.5,308.4,1433,50.0,218,0
1,297.4,308.4,1369,50.6,220,1
1,297.4,308.3,1475,40.5,222,1
1,297.4,308.3,1561,38.3,0,0
1,297.4,308.3,1472,45.5,2,0
1,297.5,308.4,1441,44.5,4,0
2,297.5,308.5,1401,50.5,6,0
1,297.5,308.5,1691,33.1,9,0
1,297.6,308.6,1382,47.1,11,0
1,297.6,308.6,1355,46.4,13,0
1,297.6,308.6,1529,45.3,15,0
1,297.7,308.7,1829,24.9,17,0
0,297.6,308.6,1480,39.8,19,0
1,297.6,308.5,1475,42.4,24,0
2,297.6,308.5,1431,52.6,26,0
1,297.5,308.3,1437,42.3,29,0
2,297.5,308.3,1476,45.6,31,0
0,297.5,308.4,1490,39.7,34,0
1,297.4,308.3,1632,33.5,39,0
1,297.4,308.2,1402,49.7,41,0
1,297.4,308.3,1347,45.8,43,0
1,297.5,308.4,1747,31.0,45,0
0,297.5,308.5,1557,39.1,47,0
1,297.4,308.4,1371,57.4,52,0
0,297.3,308.3,1506,37.0,54,0
1,297.3,308.3,1590,35.5,59,0
1,297.4,308.3,1336,53.7,61,0
1,297.3,308.3,1411,43.2,63,0
1,297.4,308.3,1704,27.3,65,0
1,297.5,308.4,1723,27.3,67,0
1,297.5,308.5,1459,39.7,69,0
1,297.6,308.5,1572,35.9,71,0
1,297.5,308.4,1384,56.0,73,0
1,297.6,308.6,1383,47.5,75,0
2,297.6,308.5,1360,48.6,77,0
2,297.5,308.4,1596,36.6,80,0
1,297.5,308.5,1448,54.3,83,0
2,297.6,308.5,1443,38.2,85,0
2,297.6,308.6,1492,35.5,88,0
1,297.5,308.6,1497,43.9,91,0
1,297.5,308.5,1530,38.5,93,0
2,297.4,308.4,1478,46.2,95,0
1,297.4,308.4,1328,61.8,98,0
0,297.4,308.3,1771,27.4,100,0
2,297.4,308.4,1564,35.0,105,0
0,297.3,308.3,1461,41.5,108,0
2,297.4,308.3,1335,57.9,113,0
2,297.4,308.4,1441,46.8,116,0
1,297.3,308.3,1268,60.6,119,0
2,297.3,308.3,1697,27.4,121,0
1,297.4,308.4,1421,46.0,124,0
1,297.4,308.5,1496,36.4,126,0
1,297.5,308.5,1375,55.6,128,0
1,297.4,308.5,1295,52.1,130,0
